date,rock_total_streams
2023-04-30,64841335.0
2023-05-07,64524416.0
2023-05-14,65241966.0
2023-05-21,67738961.0
2023-05-28,68314661.0
2023-06-04,66501617.0
2023-06-11,72322622.0
2023-06-18,82079804.0
2023-06-25,82048725.0
2023-07-02,67613366.0
2023-07-09,75489778.0
2023-07-16,65381193.0
2023-07-23,70793044.0
2023-07-30,62167487.0
2023-08-06,60953550.0
2023-08-13,59273569.0
2023-08-20,50851673.0
2023-08-27,51747427.0
2023-09-03,53635635.0
2023-09-10,61397172.0
2023-09-17,64720954.0
2023-09-24,57370604.0
2023-10-01,58800309.0
2023-10-08,60532168.0
2023-10-15,69808388.0
2023-10-22,69929851.0
2023-10-29,68311852.0
2023-11-05,67978687.0
2023-11-12,76807004.0
2023-11-19,63574251.0
2023-11-26,75363914.0
2023-12-03,92006892.0
2023-12-10,126660271.0
2023-12-17,135930870.0
2023-12-24,157877831.0
2023-12-31,225553560.0
2024-01-07,67180483.0
2024-01-14,71074019.0
2024-01-21,74182467.0
2024-01-28,78789469.0
2024-02-04,71683071.0
2024-02-11,69591269.0
2024-02-18,65350921.0
2024-02-25,89304114.0
2024-03-03,109876081.0
2024-03-10,103367783.0
2024-03-17,110975465.0
2024-03-24,122652791.0
2024-03-31,115580996.0
2024-04-07,110762299.0
2024-04-14,121249013.0
2024-04-21,117868705.0
2024-04-28,106572152.0
2024-05-05,113516678.0
2024-05-12,113264085.0
2024-05-19,131934017.0
2024-05-26,130731077.0
2024-06-02,134350184.0
2024-06-09,135690443.0
2024-06-16,133356558.0
2024-06-23,138890768.0
2024-06-30,146051064.0
2024-07-07,145598431.0
2024-07-14,141947347.0
2024-07-21,134500248.0
2024-07-28,134487629.0
2024-08-04,121736051.0
2024-08-11,140765491.0
2024-08-18,140857518.0
2024-08-25,136438008.0
2024-09-01,136086542.0
2024-09-08,145505561.0
2024-09-15,139949393.0
2024-09-22,131051363.0
2024-09-29,150710728.0
2024-10-06,117819199.0
2024-10-13,112324223.0
2024-10-20,110173293.0
2024-10-27,120797870.0
2024-11-03,187832201.0
2024-11-10,175288664.0
2024-11-17,148341594.0
2024-11-24,139623638.0
2024-12-01,131219618.0
2024-12-08,171128628.0
2024-12-15,178716124.0
2024-12-22,208236198.0
2024-12-29,284908075.0
2025-01-05,101602904.0
2025-01-12,112386405.0
2025-01-19,105063333.0
2025-01-26,105746103.0
2025-02-02,102604350.0
2025-02-09,104470098.0
2025-02-16,101775038.0
2025-02-23,98817705.0
2025-03-02,106646020.0
2025-03-09,111333828.0
2025-03-16,104277841.0
2025-03-23,99600259.0
