date,rap_hip_hop_total_streams
2022-09-25,232821832.0
2022-10-02,242875982.0
2022-10-09,239744310.0
2022-10-16,234205460.0
2022-10-23,304505249.0
2022-10-30,282755116.0
2022-11-06,279087874.0
2022-11-13,625407800.0
2022-11-20,389588825.0
2022-11-27,325048136.0
2022-12-04,293636216.0
2022-12-11,452331649.0
2022-12-18,319880020.0
2022-12-25,287796363.0
2023-01-01,238206990.0
2023-01-08,325218925.0
2023-01-15,310179420.0
2023-01-22,331930992.0
2023-01-29,319770089.0
2023-02-05,306157585.0
2023-02-12,299628988.0
2023-02-19,279243487.0
2023-02-26,274012094.0
2023-03-05,290808511.0
2023-03-12,287302193.0
2023-03-19,309360436.0
2023-03-26,286282265.0
2023-04-02,309021597.0
2023-04-09,318238818.0
2023-04-16,322711730.0
2023-04-23,325869100.0
2023-04-30,315782291.0
2023-05-07,292175882.0
2023-05-14,283795284.0
2023-05-21,307198378.0
2023-05-28,325606034.0
2023-06-04,320331556.0
2023-06-11,384051394.0
2023-06-18,341560211.0
2023-06-25,339559541.0
2023-07-02,304342079.0
2023-07-09,305252651.0
2023-07-16,261997534.0
2023-07-23,269675203.0
2023-07-30,298503534.0
2023-08-06,668454666.0
2023-08-13,403175328.0
2023-08-20,347596061.0
2023-08-27,335246177.0
2023-09-03,321824368.0
2023-09-10,354342647.0
2023-09-17,325446729.0
2023-09-24,312568263.0
2023-10-01,288588054.0
2023-10-08,279581075.0
2023-10-15,621457437.0
2023-10-22,316454990.0
2023-10-29,297181047.0
2023-11-05,236019593.0
2023-11-12,218293943.0
2023-11-19,259216448.0
2023-11-26,297204250.0
2023-12-03,294551977.0
2023-12-10,342923984.0
2023-12-17,359592044.0
2023-12-24,338860279.0
2023-12-31,236358399.0
2024-01-07,338368720.0
2024-01-14,350665815.0
2024-01-21,498508157.0
2024-01-28,406183513.0
2024-02-04,388391186.0
2024-02-11,368153522.0
2024-02-18,511961788.0
2024-02-25,413112769.0
2024-03-03,388328361.0
2024-03-10,358026028.0
2024-03-17,315662864.0
2024-03-24,282801000.0
2024-03-31,449969441.0
2024-04-07,289671805.0
2024-04-14,301198703.0
2024-04-21,288835281.0
2024-04-28,278306182.0
2024-05-05,280344071.0
2024-05-12,493108109.5
2024-05-19,473786067.0
2024-05-26,413105000.0
2024-06-02,411755318.0
2024-06-09,503348558.0
2024-06-16,445569882.0
2024-06-23,412857715.0
2024-06-30,384990373.0
2024-07-07,353157349.0
2024-07-14,362708923.0
2024-07-21,550120602.0
2024-07-28,386541611.0
2024-08-04,342605059.0
2024-08-11,364229775.0
2024-08-18,326475427.0
2024-08-25,297216834.0
2024-09-01,283423503.0
2024-09-08,263556775.0
2024-09-15,239122267.0
2024-09-22,265659848.0
2024-09-29,235044523.0
2024-10-06,263668219.0
2024-10-13,265829466.0
2024-10-20,233948313.0
2024-10-27,314457824.0
2024-11-03,488692320.0
2024-11-10,405606968.0
2024-11-17,326024865.0
2024-11-24,350843918.0
2024-12-01,722278788.0
2024-12-08,529205277.0
2024-12-15,386291349.0
2024-12-22,331741148.0
2024-12-29,271742214.0
2025-01-05,328077606.0
2025-01-12,338724990.0
2025-01-19,364245346.0
2025-01-26,366786189.0
2025-02-02,392124803.0
2025-02-09,391671514.0
2025-02-16,592971788.0
2025-02-23,597474438.0
2025-03-02,492099395.0
2025-03-09,460819589.0
2025-03-16,419598308.0
2025-03-23,830675096.0
