date,electro_total_streams
2023-02-05,51799889.0
2023-02-12,50741204.0
2023-02-19,41944657.0
2023-02-26,50711507.0
2023-03-05,53487184.0
2023-03-12,54158453.0
2023-03-19,54899888.0
2023-03-26,53442419.0
2023-04-02,51054621.0
2023-04-09,49435321.0
2023-04-16,46130762.0
2023-04-23,37659286.0
2023-04-30,36523255.0
2023-05-07,36318858.0
2023-05-14,34999824.0
2023-05-21,34178786.0
2023-05-28,33153498.0
2023-06-04,32872012.0
2023-06-11,16099932.0
2023-06-18,15872110.0
2023-06-25,15816901.0
2023-07-02,15481411.0
2023-07-09,15133475.0
2023-07-16,14922016.0
2023-07-23,14524546.0
2023-07-30,14158466.0
2023-08-06,14092253.0
2023-08-13,22222725.0
2023-08-20,23284747.0
2023-08-27,33118974.0
2023-09-03,35551934.0
2023-09-10,46263834.0
2023-09-17,47952837.0
2023-09-24,48081244.0
2023-10-01,50653698.0
2023-10-08,49414623.0
2023-10-15,48104140.0
2023-10-22,38063682.0
2023-10-29,38026195.0
2023-11-05,37325983.0
2023-11-12,77529679.0
2023-11-19,70369864.0
2023-11-26,65967225.0
2023-12-03,62482886.0
2023-12-10,59997390.0
2023-12-17,55866730.0
2023-12-24,53653198.0
2023-12-31,50390278.0
2024-01-07,57437173.0
2024-01-14,54885333.0
2024-01-21,54327799.0
2024-01-28,52465644.0
2024-02-04,41902718.0
2024-02-11,41278719.0
2024-02-18,39725108.0
2024-02-25,38382858.0
2024-03-03,31597384.0
2024-03-10,55951527.0
2024-03-17,56564905.0
2024-03-24,57575593.0
2024-03-31,56144664.0
2024-04-07,54619001.0
2024-04-14,66174301.0
2024-04-21,80260216.0
2024-04-28,67339026.0
2024-05-05,67106808.0
2024-05-12,74445672.0
2024-05-19,74386631.0
2024-05-26,71272988.0
2024-06-02,70111680.0
2024-06-09,79637824.0
2024-06-16,71249043.0
2024-06-23,84396691.0
2024-06-30,94450704.0
2024-07-07,84531937.0
2024-07-14,83552631.0
2024-07-21,78093860.0
2024-07-28,89631371.0
2024-08-04,79080303.0
2024-08-11,79728660.0
2024-08-18,71996486.0
2024-08-25,73679026.0
2024-09-01,66549664.0
2024-09-08,65976008.0
2024-09-15,61719482.0
2024-09-22,60623933.0
2024-09-29,61633181.0
2024-10-06,57663437.0
2024-10-13,56272590.0
2024-10-20,53611054.0
2024-10-27,46704737.0
2024-11-03,51921284.0
2024-11-10,49151020.0
2024-11-17,51173607.0
2024-11-24,36818816.0
2024-12-01,9341796.0
2024-12-08,12283773.0
2024-12-15,14034198.0
2024-12-22,11137041.0
2025-01-05,25304753.0
2025-01-12,19313302.0
2025-01-19,20116802.0
2025-01-26,20123329.0
2025-02-02,19774890.0
2025-02-09,32096448.0
2025-02-16,30556991.0
2025-02-23,21396864.0
2025-03-02,22596028.0
2025-03-09,30351141.0
2025-03-16,30320381.0
2025-03-23,21871437.0
