date,randb_total_streams
2023-01-29,174719308.0
2023-02-05,171777430.0
2023-02-12,185429293.0
2023-02-19,192423637.0
2023-02-26,205076030.0
2023-03-05,261561782.0
2023-03-12,250173869.0
2023-03-19,245183913.0
2023-03-26,214089755.0
2023-04-02,196453123.0
2023-04-09,207631350.0
2023-04-16,195981470.0
2023-04-23,183436819.0
2023-04-30,215789826.0
2023-05-07,194531870.0
2023-05-14,176797404.0
2023-05-21,158257813.0
2023-05-28,150603240.0
2023-06-04,147447079.0
2023-06-11,136834169.0
2023-06-18,144569373.0
2023-06-25,148564305.0
2023-07-02,138608309.0
2023-07-09,127634056.0
2023-07-16,112317294.0
2023-07-23,133814862.0
2023-07-30,123642115.0
2023-08-06,107951372.0
2023-08-13,128730017.0
2023-08-20,127502836.0
2023-08-27,128660828.0
2023-09-03,140892342.0
2023-09-10,137863310.0
2023-09-17,130305576.0
2023-09-24,130103465.5
2023-10-01,144009054.0
2023-10-08,151971109.0
2023-10-15,136047121.0
2023-10-22,138651308.0
2023-10-29,143793678.0
2023-11-05,133714255.0
2023-11-12,122087994.0
2023-11-19,114235387.0
2023-11-26,110765605.0
2023-12-03,112591696.0
2023-12-10,134202939.0
2023-12-17,131411328.0
2023-12-24,118321030.0
2023-12-31,107233527.0
2024-01-07,170863827.0
2024-01-14,171761351.0
2024-01-21,162982648.0
2024-01-28,152061499.0
2024-02-04,143870125.0
2024-02-11,147550223.0
2024-02-18,185762501.0
2024-02-25,165762565.0
2024-03-03,134860734.0
2024-03-10,169238833.0
2024-03-17,145589325.0
2024-03-24,164644381.0
2024-03-31,138342765.0
2024-04-07,131531047.0
2024-04-14,133980352.0
2024-04-21,129616450.0
2024-04-28,116845079.0
2024-05-05,108745184.0
2024-05-12,109785327.0
2024-05-19,111427957.0
2024-05-26,110218557.0
2024-06-02,101969796.0
2024-06-09,94363061.0
2024-06-16,95704385.0
2024-06-23,101046219.0
2024-06-30,98708321.0
2024-07-07,107688569.0
2024-07-14,104011112.0
2024-07-21,95081624.0
2024-07-28,94693311.0
2024-08-04,94585094.0
2024-08-11,86365414.0
2024-08-18,84808108.0
2024-08-25,86185277.0
2024-09-01,85271648.0
2024-09-08,92734653.0
2024-09-15,109826320.0
2024-09-22,137160313.0
2024-09-29,118433825.0
2024-10-06,152323269.0
2024-10-13,140757261.0
2024-10-20,132938724.0
2024-10-27,131422547.0
2024-11-03,135748923.0
2024-11-10,159235686.0
2024-11-17,132223988.0
2024-11-24,130425585.0
2024-12-01,100342604.0
2024-12-08,93163139.0
2024-12-15,92295731.0
2024-12-22,119343047.0
2024-12-29,128273688.0
2025-01-05,169648406.0
2025-01-12,154028938.0
2025-01-19,155102952.0
2025-01-26,160061868.0
2025-02-02,147304978.0
2025-02-09,366345792.0
2025-02-16,238612125.0
2025-02-23,310158051.0
2025-03-02,181146139.0
2025-03-09,164036196.0
2025-03-16,122896645.0
2025-03-23,125747454.0
