genre,ma_window,mae,rmse,mape,model_name_extracted,source_file,best_params,sarima_order
electro,,1180813.36465786,1738333.2458219756,12.168453157755064,RandomForest,genre_RF_tscv_tuned_metrics_songs200_iter10.csv,,
film_scores,,1148971.8190952449,1299585.42812316,9.68678760316563,RandomForest,genre_RF_tscv_tuned_metrics_songs200_iter10.csv,,
films_games,,1148971.8190952449,1299585.42812316,9.68678760316563,RandomForest,genre_RF_tscv_tuned_metrics_songs200_iter10.csv,,
indie_pop,,4356188.437533728,6012378.550644148,51.50822025480775,RandomForest,genre_RF_tscv_tuned_metrics_songs200_iter10.csv,,
indie_pop_folk,,4886397.395586446,6948083.692233218,66.6698625314113,RandomForest,genre_RF_tscv_tuned_metrics_songs200_iter10.csv,,
indie_rock,,3825979.479481009,4901175.846489745,36.346577978204174,RandomForest,genre_RF_tscv_tuned_metrics_songs200_iter10.csv,,
international_pop,,264846.3176126112,395629.7450825464,1.483971598700089,RandomForest,genre_RF_tscv_tuned_metrics_songs200_iter10.csv,,
latin_music,,1142013.5819362062,2250603.625927628,15.195336477074836,RandomForest,genre_RF_tscv_tuned_metrics_songs200_iter10.csv,,
pop,,2664135.342135676,5667084.261256061,15.89539204161568,RandomForest,genre_RF_tscv_tuned_metrics_songs200_iter10.csv,,
randb,,843370.3379664153,1348620.6590766157,9.393718764323038,RandomForest,genre_RF_tscv_tuned_metrics_songs200_iter10.csv,,
rap_hip_hop,,1484065.2700949209,3766466.1835732106,13.232373394126082,RandomForest,genre_RF_tscv_tuned_metrics_songs200_iter10.csv,,
rock,,393643.4781419304,669614.7076993951,1.2008603766453048,RandomForest,genre_RF_tscv_tuned_metrics_songs200_iter10.csv,,
singer_and_songwriter,,252824.5299370026,323296.5268031803,4.2248727580936265,RandomForest,genre_RF_tscv_tuned_metrics_songs200_iter10.csv,,
techno_house,,599747.2020845236,729922.6769934234,6.943634381714501,RandomForest,genre_RF_tscv_tuned_metrics_songs200_iter10.csv,,
pop,,58058482.22214079,83623093.88387512,6.463053367353691,SARIMA,genre_sarima_metrics_top10_test8.csv,,"(1, 1, 1),(1, 0, 0, 52)"
rap_hip_hop,,101734474.07270291,164365008.843564,15.600478979121355,SARIMA,genre_sarima_metrics_top10_test8.csv,,"(1, 1, 1),(0, 0, 0, 52)"
latin_music,,26548027.824980397,31370439.92414125,7.037835350026109,SARIMA,genre_sarima_metrics_top10_test8.csv,,"(1, 1, 1),(0, 0, 0, 52)"
alternative,,21330147.520198,29162200.179876264,10.294248345259907,SARIMA,genre_sarima_metrics_top10_test8.csv,,"(1, 1, 1),(1, 0, 0, 52)"
dance,,10382147.837005522,14162134.886639751,13.43023846581577,SARIMA,genre_sarima_metrics_top10_test8.csv,,"(0, 1, 1),(1, 0, 0, 52)"
randb,,72191432.16905876,95817666.36844836,32.08247578572935,SARIMA,genre_sarima_metrics_top10_test8.csv,,"(2, 1, 1),(0, 0, 0, 52)"
rock,,8515327.833797792,9603376.4646925,8.332759271947994,SARIMA,genre_sarima_metrics_top10_test8.csv,,"(1, 1, 1),(1, 0, 1, 52)"
electro,,5100445.25,6811620.848130275,19.698692906076797,SARIMA,genre_sarima_metrics_top10_test8.csv,,"(0, 1, 0),(0, 0, 0, 52)"
asian_music,,20524092.62341401,24573265.747534025,23.24463763528027,SARIMA,genre_sarima_metrics_top10_test8.csv,,"(1, 1, 1),(0, 0, 0, 52)"
films_games,,7036988.218399291,11659257.945638187,21.507414767590724,SARIMA,genre_sarima_metrics_top10_test8.csv,,"(0, 1, 1),(1, 0, 0, 52)"
